;UF_Destino;UF_origem;Origem;Destino;KM;PED;Pton;Preco;Produto;Especie;Veiculo_1;Veiculo_2;Ano;Mes;Dia
3846;SP;PR;São José Dos Pinhais;Santo Andre;415;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3847;SP;PR;São José Dos Pinhais;Santo Andre;415;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3848;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3849;MS;PR;São José Dos Pinhais;Antonio Joao;1001;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3850;MS;PR;São José Dos Pinhais;Dourados;894;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3851;MS;PR;São José Dos Pinhais;Dourados;894;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3852;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3853;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3854;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3855;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3856;MS;PR;São José Dos Pinhais;Bela Vista;1074;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3857;MS;PR;São José Dos Pinhais;Antonio Joao;1001;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3858;MS;PR;São José Dos Pinhais;Antonio Joao;1001;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3859;MS;PR;São José Dos Pinhais;Antonio Joao;1001;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3860;MS;PR;São José Dos Pinhais;Antonio Joao;1001;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3861;MG;PR;São José Dos Pinhais;Uberlandia;974;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3862;MG;PR;São José Dos Pinhais;Uberlandia;974;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3863;MS;PR;São José Dos Pinhais;Ribas Do Rio Pardo;1059;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3864;MS;PR;São José Dos Pinhais;Bandeirantes;1133;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
3865;MS;PR;São José Dos Pinhais;Bandeirantes;1133;0;0;;Não informado;Não informado;'Carreta LS Trucada (3/3 Eixos)';'Carreta Toco (2/3 Eixos)';2021;2;1
